cpu,client,node,run,data,throughput,retransmissions,congestion_window
36,1,1,1,2.91,24.4,111,4.01
36,1,1,1,2.88,24.2,103,4.01
36,1,1,1,2.88,24.2,102,4.01
36,1,1,1,2.88,24.2,135,8.02
36,1,1,1,2.86,24.0,97,2.67
36,1,1,1,2.88,24.2,120,4.01
36,1,1,1,2.88,24.2,149,4.01
36,1,1,1,2.83,23.8,122,4.01
36,1,1,1,2.88,24.1,104,4.01
36,1,1,1,2.87,24.1,106,5.34
36,1,1,1,2.88,24.1,104,4.01
36,1,1,1,2.86,24.0,115,4.01
36,1,1,1,2.88,24.2,116,4.01
36,1,1,1,2.88,24.2,117,4.01
36,1,1,1,2.88,24.1,112,4.01
36,1,1,1,2.86,24.0,95,4.01
36,1,1,1,2.88,24.2,113,6.68
36,1,1,1,2.84,23.8,111,4.01
36,1,1,1,2.88,24.2,125,4.01
36,1,1,1,2.90,24.3,109,4.01
36,1,1,1,2.84,23.8,131,4.01
36,1,1,1,2.88,24.2,119,5.34
36,1,1,1,2.86,24.0,105,4.01
36,1,1,1,2.88,24.2,117,4.01
36,1,1,1,2.88,24.2,127,2.67
36,1,1,1,2.88,24.2,122,4.01
36,1,1,1,2.84,23.8,111,4.01
36,1,1,1,2.90,24.3,118,4.01
36,1,1,1,2.84,23.8,127,5.34
36,1,1,1,2.88,24.2,121,4.01
36,1,1,1,2.86,24.0,97,4.01
36,1,1,1,2.88,24.2,116,5.34
36,1,1,1,2.88,24.2,95,4.01
36,1,1,1,2.88,24.2,112,2.67
36,1,1,1,2.86,24.0,116,5.34
36,1,1,1,2.88,24.2,121,4.01
36,1,1,1,2.88,24.2,108,4.01
36,1,1,1,2.86,24.0,119,5.34
36,1,1,1,2.85,23.9,97,4.01
36,1,1,1,2.87,24.1,117,4.01
36,1,1,1,2.88,24.1,99,2.67
36,1,1,1,2.86,24.0,131,5.34
36,1,1,1,2.88,24.2,136,4.01
36,1,1,1,2.88,24.2,109,4.01
36,1,1,1,2.88,24.1,124,4.01
36,1,1,1,2.87,24.0,124,6.68
36,1,1,1,2.88,24.2,86,4.01
36,1,1,1,2.84,23.8,107,4.01
36,1,1,1,2.88,24.2,139,6.68
36,1,1,1,2.86,24.0,87,4.01
36,1,1,1,2.88,24.2,107,4.01
36,1,1,1,2.88,24.2,105,5.34
36,1,1,1,2.88,24.2,97,2.67
36,1,1,1,2.86,24.0,110,4.01
36,1,1,1,2.88,24.2,141,4.01
36,1,1,1,2.88,24.2,119,4.01
36,1,1,1,2.86,24.0,93,4.01
36,1,1,1,2.88,24.2,123,5.34
36,1,1,1,2.84,23.8,102,4.01
36,1,1,1,2.88,24.2,110,4.01
36,1,1,1,2.86,24.0,81,4.01
36,1,1,1,2.88,24.2,115,6.68
36,1,1,1,85.5,27.7,7,5.34
36,10,1,1,2.92,24.5,104,4.01
36,10,1,1,2.86,24.0,98,4.01
36,10,1,1,2.88,24.2,112,4.01
36,10,1,1,2.88,24.2,128,4.01
36,10,1,1,2.86,24.0,114,4.01
36,10,1,1,2.88,24.2,135,2.67
36,10,1,1,2.88,24.2,110,4.01
36,10,1,1,2.83,23.8,136,4.01
36,10,1,1,2.87,24.0,112,4.01
36,10,1,1,2.88,24.2,117,4.01
36,10,1,1,2.88,24.1,106,4.01
36,10,1,1,2.86,24.0,89,4.01
36,10,1,1,2.88,24.2,134,4.01
36,10,1,1,2.84,23.8,124,4.01
36,10,1,1,2.88,24.2,117,4.01
36,10,1,1,2.86,24.0,121,4.01
36,10,1,1,2.88,24.2,103,4.01
36,10,1,1,2.88,24.2,122,4.01
36,10,1,1,2.88,24.2,94,4.01
36,10,1,1,2.86,24.0,92,4.01
36,10,1,1,2.84,23.8,97,5.34
36,10,1,1,2.88,24.2,96,4.01
36,10,1,1,2.88,24.2,133,5.34
36,10,1,1,2.86,24.0,130,2.67
36,10,1,1,2.88,24.2,135,4.01
36,10,1,1,2.88,24.2,135,4.01
36,10,1,1,2.88,24.2,102,4.01
36,10,1,1,2.86,24.0,91,5.34
36,10,1,1,2.84,23.8,112,4.01
36,10,1,1,2.88,24.1,113,4.01
36,10,1,1,2.86,24.0,94,4.01
36,10,1,1,2.88,24.2,88,4.01
36,10,1,1,2.88,24.2,117,4.01
36,10,1,1,2.84,23.8,120,4.01
36,10,1,1,2.90,24.3,122,5.34
