cpu,client,node,run,data,throughput,retransmissions,congestion_window
36,1,1,1,2.92,24.5,120,4.01
36,1,1,1,2.86,24.0,117,4.01
36,1,1,1,2.88,24.2,149,5.34
36,1,1,1,2.88,24.2,113,4.01
36,1,1,1,2.88,24.2,99,5.34
36,1,1,1,2.86,24.0,107,4.01
36,1,1,1,2.88,24.2,88,4.01
36,1,1,1,2.84,23.8,121,2.67
36,1,1,1,2.88,24.1,112,2.67
36,1,1,1,2.86,24.0,125,2.67
36,1,1,1,2.88,24.2,117,5.34
36,1,1,1,2.88,24.2,125,5.34
36,1,1,1,2.88,24.1,110,4.01
36,1,1,1,2.87,24.0,129,5.34
36,1,1,1,2.88,24.2,127,2.67
36,1,1,1,2.88,24.1,120,4.01
36,1,1,1,2.86,24.0,112,2.67
36,1,1,1,2.88,24.2,104,4.01
36,1,1,1,2.84,23.8,123,4.01
36,1,1,1,2.88,24.2,142,4.01
36,1,1,1,2.86,24.0,125,4.01
36,1,1,1,2.88,24.2,107,6.68
36,1,1,1,2.88,24.2,109,5.34
36,1,1,1,2.88,24.2,106,4.01
36,1,1,1,2.86,24.0,115,4.01
36,1,1,1,2.88,24.2,96,4.01
36,1,1,1,2.88,24.2,143,4.01
36,1,1,1,2.86,24.0,133,5.34
36,1,1,1,2.88,24.2,120,4.01
36,1,1,1,2.84,23.8,120,4.01
36,1,1,1,2.88,24.2,119,2.67
36,1,1,1,2.86,24.0,114,4.01
36,1,1,1,2.88,24.2,116,4.01
36,1,1,1,2.88,24.2,117,5.34
36,1,1,1,2.88,24.2,133,4.01
36,1,1,1,2.86,24.0,102,2.67
36,1,1,1,2.88,24.2,128,4.01
36,1,1,1,2.88,24.2,118,4.01
36,1,1,1,2.88,24.2,129,2.67
36,1,1,1,2.83,23.7,136,4.01
36,1,1,1,2.87,24.1,118,2.67
36,1,1,1,2.88,24.1,129,5.34
36,1,1,1,2.86,24.0,129,4.01
36,1,1,1,2.89,24.2,90,5.34
36,1,1,1,2.87,24.1,145,4.01
36,1,1,1,2.88,24.1,89,5.34
36,1,1,1,2.86,24.0,118,4.01
36,1,1,1,2.88,24.2,122,4.01
36,1,1,1,2.88,24.2,127,5.34
36,1,1,1,2.84,23.8,131,4.01
36,1,1,1,2.86,24.0,133,2.67
36,1,1,1,2.88,24.2,99,4.01
36,1,1,1,2.88,24.2,112,5.34
36,1,1,1,2.88,24.2,107,4.01
36,1,1,1,2.86,24.0,132,4.01
36,1,1,1,2.88,24.2,103,4.01
36,1,1,1,2.88,24.2,128,4.01
36,1,1,1,2.86,24.0,98,4.01
36,1,1,1,2.88,24.2,117,4.01
36,1,1,1,2.84,23.8,134,4.01
36,1,1,1,2.88,24.2,131,4.01
36,1,1,1,2.86,24.0,115,4.01
36,1,1,1,85.5,30.2,1,5.34
36,10,1,1,2.92,24.5,95,4.01
36,10,1,1,2.88,24.2,95,5.34
36,10,1,1,2.86,24.0,128,2.67
36,10,1,1,2.88,24.2,114,5.34
36,10,1,1,2.88,24.2,120,4.01
36,10,1,1,2.88,24.2,115,4.01
36,10,1,1,2.86,24.0,112,4.01
36,10,1,1,2.88,24.2,126,4.01
36,10,1,1,2.84,23.8,119,4.01
36,10,1,1,2.88,24.1,117,5.34
36,10,1,1,2.87,24.1,87,5.34
36,10,1,1,2.88,24.2,138,4.01
36,10,1,1,2.88,24.1,104,4.01
36,10,1,1,2.86,24.0,120,5.34
36,10,1,1,2.88,24.2,117,4.01
36,10,1,1,2.88,24.2,130,4.01
36,10,1,1,2.88,24.1,135,4.01
36,10,1,1,2.87,24.0,122,4.01
36,10,1,1,2.84,23.8,122,5.34
36,10,1,1,2.88,24.2,108,4.01
36,10,1,1,2.86,24.0,110,4.01
36,10,1,1,2.88,24.2,120,2.67
36,10,1,1,2.88,24.2,141,4.01
36,10,1,1,2.88,24.2,116,4.01
36,10,1,1,2.86,24.0,115,5.34
36,10,1,1,2.88,24.2,97,4.01
36,10,1,1,2.88,24.2,134,2.67
36,10,1,1,2.84,23.8,95,5.34
36,10,1,1,2.86,24.0,110,4.01
36,10,1,1,2.88,24.2,104,4.01
36,10,1,1,2.88,24.2,126,4.01
36,10,1,1,2.88,24.2,123,4.01
36,10,1,1,2.86,24.0,109,4.01
36,10,1,1,2.88,24.2,91,4.01
36,10,1,1,2.88,24.2,111,5.34
36,10,1,1,2.83,23.8,108,4.01
36,10,1,1,2.88,24.1,96,5.34
36,10,1,1,2.87,24.1,103,4.01
36,10,1,1,2.88,24.1,90,5.34
36,10,1,1,2.88,24.1,106,4.01
36,10,1,1,2.87,24.1,123,4.01
36,10,1,1,2.88,24.2,119,5.34
36,10,1,1,2.88,24.1,103,4.01
36,10,1,1,2.84,23.9,99,4.01
36,10,1,1,2.90,24.3,90,10.7
36,10,1,1,2.84,23.8,119,4.01
36,10,1,1,2.88,24.2,98,4.01
36,10,1,1,2.90,24.3,122,5.34
36,10,1,1,2.84,23.8,97,4.01
36,10,1,1,2.88,24.2,108,5.34
36,10,1,1,2.86,24.0,107,8.02
36,10,1,1,2.88,24.2,112,6.68
36,10,1,1,2.88,24.2,102,4.01
36,10,1,1,2.84,23.8,134,5.34
36,10,1,1,2.90,24.3,110,4.01
36,10,1,1,2.84,23.8,91,4.01
36,10,1,1,2.88,24.2,109,5.34
36,10,1,1,2.88,24.2,110,4.01
36,10,1,1,2.86,24.0,101,4.01
36,10,1,1,2.88,24.2,104,5.34
36,10,1,1,2.88,24.2,134,4.01
36,10,1,1,2.86,24.0,109,4.01
36,10,1,1,150,23.6,6,2.67
36,10,2,1,2.91,24.4,118,2.67
36,10,2,1,2.88,24.2,87,5.34
36,10,2,1,2.88,24.2,132,4.01
36,10,2,1,2.86,24.0,126,4.01
36,10,2,1,2.88,24.2,119,4.01
36,10,2,1,2.88,24.2,105,6.68
36,10,2,1,2.88,24.2,81,4.01
36,10,2,1,2.86,24.0,117,6.68
36,10,2,1,2.84,23.8,92,4.01
36,10,2,1,2.88,24.2,119,4.01
36,10,2,1,2.88,24.1,108,5.34
36,10,2,1,2.87,24.0,117,4.01
36,10,2,1,2.88,24.2,86,4.01
36,10,2,1,2.88,24.1,98,4.01
36,10,2,1,2.86,24.0,106,4.01
36,10,2,1,2.88,24.2,114,4.01
36,10,2,1,2.84,23.8,115,5.34
36,10,2,1,2.88,24.2,152,4.01
36,10,2,1,2.86,24.0,111,4.01
36,10,2,1,2.88,24.2,114,5.34
36,10,2,1,2.88,24.2,141,4.01
36,10,2,1,2.84,23.8,113,4.01
36,10,2,1,2.86,24.0,107,4.01
36,10,2,1,2.88,24.2,122,6.68
36,10,2,1,2.88,24.2,112,4.01
36,10,2,1,2.86,24.0,107,6.68
36,10,2,1,2.85,23.9,116,5.34
36,10,2,1,2.87,24.1,101,4.01
36,10,2,1,2.88,24.1,101,5.34
36,10,2,1,2.86,24.0,98,6.68
36,10,2,1,2.88,24.2,109,4.01
36,10,2,1,2.88,24.2,105,5.34
36,10,2,1,2.88,24.1,119,4.01
36,10,2,1,2.86,24.0,104,4.01
36,10,2,1,2.84,23.8,104,6.68
36,10,2,1,2.88,24.2,109,4.01
36,10,2,1,2.88,24.2,126,6.68
36,10,2,1,2.86,24.0,119,6.68
36,10,2,1,2.84,23.8,115,6.68
36,10,2,1,2.88,24.2,112,5.34
36,10,2,1,2.86,24.0,101,4.01
36,10,2,1,2.88,24.2,90,4.01
36,10,2,1,2.88,24.2,129,4.01
36,10,2,1,2.83,23.8,107,6.68
36,10,2,1,2.88,24.1,95,2.67
36,10,2,1,2.87,24.1,101,4.01
36,10,2,1,2.88,24.2,113,6.68
36,10,2,1,2.84,23.8,97,4.01
36,10,2,1,2.86,24.0,111,6.68
36,10,2,1,2.88,24.2,122,4.01
36,10,2,1,2.84,23.8,124,4.01
36,10,2,1,2.90,24.3,85,6.68
36,10,2,1,2.88,24.2,97,4.01
36,10,2,1,2.84,23.8,97,4.01
36,10,2,1,2.88,24.2,125,6.68
36,10,2,1,2.86,24.0,124,4.01
36,10,2,1,2.88,24.2,87,6.68
36,10,2,1,2.84,23.8,145,4.01
36,10,2,1,2.88,24.1,123,8.02
36,10,2,1,2.88,24.1,131,4.01
36,10,2,1,2.87,24.1,96,5.34
36,10,2,1,2.84,23.8,133,4.01
36,10,2,1,128,25.0,3,4.01
36,10,3,1,2.95,24.7,121,4.01
36,10,3,1,2.84,23.8,114,4.01
36,10,3,1,2.88,24.2,92,4.01
36,10,3,1,2.88,24.2,113,2.67
36,10,3,1,2.86,24.0,97,4.01
36,10,3,1,2.88,24.2,134,2.67
36,10,3,1,2.84,23.8,109,2.67
36,10,3,1,2.88,24.1,106,4.01
36,10,3,1,2.88,24.1,129,4.01
36,10,3,1,2.87,24.1,103,4.01
36,10,3,1,2.88,24.1,112,4.01
36,10,3,1,2.86,24.0,152,4.01
36,10,3,1,2.88,24.2,153,4.01
36,10,3,1,2.84,23.8,109,4.01
36,10,3,1,2.88,24.2,100,4.01
36,10,3,1,2.86,24.0,134,5.34
36,10,3,1,2.88,24.2,112,4.01
36,10,3,1,2.88,24.2,116,2.67
36,10,3,1,2.84,23.8,102,4.01
36,10,3,1,2.90,24.3,149,2.67
36,10,3,1,2.84,23.8,108,2.67
36,10,3,1,2.88,24.2,91,4.01
36,10,3,1,2.88,24.2,122,4.01
36,10,3,1,2.86,24.0,97,4.01
36,10,3,1,2.88,24.2,124,2.67
36,10,3,1,2.88,24.2,95,4.01
36,10,3,1,2.86,24.0,101,4.01
36,10,3,1,2.85,23.9,105,4.01
36,10,3,1,2.87,24.1,109,6.68
36,10,3,1,2.88,24.1,115,2.67
36,10,3,1,2.86,24.0,98,2.67
36,10,3,1,2.88,24.2,84,5.34
36,10,3,1,2.88,24.2,138,4.01
36,10,3,1,2.88,24.1,118,6.68
36,10,3,1,2.87,24.0,89,8.02
36,10,3,1,2.88,24.2,116,5.34
36,10,3,1,2.88,24.2,105,4.01
36,10,3,1,2.84,23.8,95,5.34
36,10,3,1,2.90,24.3,109,4.01
36,10,3,1,2.84,23.8,97,6.68
36,10,3,1,2.88,24.2,99,4.01
