cpu,client,run,core,usr,kernel,softirq,idle
36,1,1,22,0.00,0.00,2.02,97.98
36,1,1,23,0.00,2.04,1.02,96.94
36,1,1,24,0.00,2.00,2.00,96.00
36,1,1,25,0.00,1.98,3.96,94.06
36,1,1,26,0.00,1.02,1.02,97.96
36,1,1,27,0.00,3.06,0.00,96.94
36,1,1,28,0.00,4.90,0.98,94.12
36,1,1,29,1.01,1.01,3.03,94.95
36,1,1,30,0.00,0.00,0.00,100.00
36,1,1,31,0.00,2.04,1.02,96.94
36,1,1,32,0.00,3.06,1.02,95.92
36,1,1,33,0.00,1.02,2.04,96.94
36,1,1,34,0.00,0.99,3.96,95.05
36,1,1,35,0.00,4.04,0.00,95.96
36,1,1,-1,0.00,1.85,1.01,97.14
36,1,1,0,0.00,1.00,3.00,96.00
36,1,1,1,0.00,2.00,2.00,96.00
36,1,1,2,0.00,2.02,0.00,97.98
36,1,1,3,0.00,2.00,1.00,97.00
36,1,1,4,0.00,2.00,4.00,94.00
36,1,1,5,0.00,1.02,1.02,97.96
36,1,1,6,0.00,0.00,0.00,100.00
36,1,1,7,0.00,1.01,0.00,98.99
36,1,1,8,0.00,2.04,0.00,97.96
36,1,1,9,0.00,2.02,0.00,97.98
36,1,1,10,0.00,1.01,0.00,98.99
36,1,1,11,0.00,2.02,0.00,97.98
36,1,1,12,0.00,2.02,0.00,97.98
36,1,1,13,0.00,3.00,0.00,97.00
36,1,1,14,0.00,2.00,1.00,97.00
36,1,1,15,0.00,2.02,1.01,96.97
36,1,1,16,0.00,2.02,1.01,96.97
36,1,1,17,0.00,2.04,0.00,97.96
36,1,1,18,0.00,2.00,1.00,97.00
36,1,1,19,0.00,1.02,0.00,98.98
36,1,1,20,0.00,1.01,1.01,97.98
36,1,1,21,0.00,3.00,0.00,97.00
36,1,1,22,0.00,1.96,2.94,95.10
36,1,1,23,0.00,2.02,2.02,95.96
36,1,1,24,0.00,3.96,1.98,94.06
36,1,1,25,0.00,2.00,3.00,95.00
36,1,1,26,0.00,2.00,1.00,97.00
36,1,1,27,0.00,2.00,2.00,96.00
36,1,1,28,0.00,1.03,0.00,98.97
36,1,1,29,0.00,2.02,3.03,94.95
36,1,1,30,0.00,1.01,0.00,98.99
36,1,1,31,0.00,1.02,1.02,97.96
36,1,1,32,0.00,2.04,1.02,96.94
36,1,1,33,0.00,2.04,0.00,97.96
36,1,1,34,0.00,1.98,1.98,96.04
36,1,1,35,0.00,3.03,0.00,96.97
36,1,1,-1,0.00,1.60,1.26,97.15
36,1,1,0,0.00,0.00,1.02,98.98
36,1,1,1,0.00,3.00,2.00,95.00
36,1,1,2,0.00,2.00,0.00,98.00
36,1,1,3,0.00,3.00,0.00,97.00
36,1,1,4,0.00,1.98,4.95,93.07
36,1,1,5,0.00,1.02,1.02,97.96
36,1,1,6,0.00,0.00,1.01,98.99
36,1,1,7,0.00,1.02,0.00,98.98
36,1,1,8,0.00,1.02,0.00,98.98
36,1,1,9,0.00,3.00,0.00,97.00
36,1,1,10,0.00,0.00,1.01,98.99
36,1,1,11,0.00,0.00,0.00,100.00
36,1,1,12,0.00,3.92,0.98,95.10
36,1,1,13,0.00,2.02,0.00,97.98
36,1,1,14,0.00,2.00,1.00,97.00
36,1,1,15,0.00,1.02,1.02,97.96
36,1,1,16,0.00,2.02,0.00,97.98
36,1,1,17,0.00,2.97,2.97,94.06
36,1,1,18,0.00,2.00,1.00,97.00
36,1,1,19,0.00,2.00,1.00,97.00
36,1,1,20,0.00,1.03,0.00,98.97
36,1,1,21,0.00,2.02,0.00,97.98
36,1,1,22,0.00,0.00,2.02,97.98
36,1,1,23,0.00,1.00,3.00,96.00
36,1,1,24,0.00,2.02,1.01,96.97
36,1,1,25,0.00,1.02,3.06,95.92
36,1,1,26,0.00,0.00,2.02,97.98
36,1,1,27,0.00,0.00,0.00,100.00
36,1,1,28,0.00,2.04,1.02,96.94
36,1,1,29,0.00,2.94,4.90,92.16
36,1,1,30,0.00,1.98,0.00,98.02
36,1,1,31,0.00,1.00,3.00,96.00
36,1,1,32,0.00,1.02,1.02,97.96
36,1,1,33,0.00,2.97,2.97,94.06
36,1,1,34,0.00,1.01,2.02,96.97
36,1,1,35,0.00,3.03,0.00,96.97
36,1,1,-1,0.03,1.79,1.31,96.88
36,1,1,0,0.00,1.98,2.97,95.05
36,1,1,1,0.00,4.00,0.00,96.00
36,1,1,2,1.00,1.00,0.00,98.00
36,1,1,3,0.00,1.02,0.00,98.98
36,1,1,4,0.00,3.88,4.85,91.26
36,1,1,5,0.00,2.00,2.00,96.00
36,1,1,6,0.00,1.00,1.00,98.00
36,1,1,7,0.00,2.02,0.00,97.98
36,1,1,8,0.00,3.92,0.00,96.08
36,1,1,9,0.00,2.00,0.00,98.00
36,1,1,10,0.00,1.02,0.00,98.98
36,1,1,11,0.00,2.00,0.00,98.00
36,1,1,12,0.00,2.02,1.01,96.97
