cpu,client,node,run,min,mean,median,90th,99th,max,std
36,1,1,1,375,1679.70,560,2300,2300,10124,2864.72
36,10,1,1,465,556.20,545,560,560,811,89.95
36,10,2,1,323,560.20,555,650,650,765,106.99
36,10,3,1,193,557.70,560,720,720,741,148.76
36,10,4,1,340,595.40,550,720,720,936,147.32
36,10,5,1,495,554.20,540,590,590,712,57.27
36,10,6,1,293,539.70,535,630,630,700,101.03
36,10,7,1,334,535.00,540,580,580,714,87.76
36,10,8,1,436,544.30,535,650,650,659,75.41
36,10,9,1,301,538.20,530,670,670,676,98.23
36,10,10,1,386,553.20,550,610,610,688,72.19
36,100,1,1,350,593.40,620,740,740,803,148.66
36,100,2,1,385,548.60,540,630,630,682,76.66
36,100,3,1,297,545.70,563,640,640,691,98.78
36,100,4,1,348,537.40,535,660,660,669,87.24
36,100,5,1,446,568.50,520,690,690,818,112.39
36,100,6,1,405,546.70,540,660,660,665,72.81
36,100,7,1,480,551.30,520,610,610,719,65.84
36,100,8,1,430,563.30,530,650,650,799,102.22
36,100,9,1,334,551.50,560,670,670,768,117.59
36,100,10,1,345,536.80,530,640,640,848,133.02
36,100,11,1,396,575.80,530,735,735,734,103.93
36,100,12,1,372,547.60,565,610,610,694,82.17
36,100,13,1,315,561.30,570,690,690,693,101.54
36,100,14,1,367,559.20,525,710,710,951,160.35
36,100,15,1,461,563.60,565,640,640,715,72.06
36,100,16,1,444,565.60,555,700,700,749,89.36
36,100,17,1,351,550.30,520,650,650,804,115.63
36,100,18,1,423,554.10,520,670,670,837,117.41
36,100,19,1,302,557.60,550,660,660,873,144.07
36,100,20,1,401,553.50,540,690,690,717,101.27
36,100,21,1,304,561.90,560,720,720,883,161.81
36,100,22,1,492,562.70,516,710,710,808,100.70
36,100,23,1,450,548.50,555,600,600,636,53.84
36,100,24,1,472,554.00,550,630,630,667,58.55
36,100,25,1,290,554.70,560,670,670,721,111.99
36,100,26,1,464,599.30,570,780,780,894,129.81
36,100,27,1,346,542.10,543,640,640,976,169.76
36,100,28,1,441,550.90,560,610,610,654,66.07
36,100,29,1,375,563.60,575,630,630,720,85.82
36,100,30,1,382,563.10,615,670,670,671,99.10
36,100,31,1,440,558.20,540,660,660,732,89.73
36,100,32,1,412,553.80,527,690,690,726,86.75
36,100,33,1,351,551.50,500,700,700,807,126.57
36,100,34,1,452,555.60,560,640,640,686,82.16
36,100,35,1,347,559.70,550,710,710,724,112.14
36,100,36,1,317,557.10,560,640,640,717,102.71
36,100,37,1,307,568.50,570,780,780,842,152.41
36,100,38,1,359,565.60,540,680,680,791,115.83
36,100,39,1,386,562.50,520,730,730,732,123.21
36,100,40,1,378,554.30,510,660,660,887,134.80
36,100,41,1,400,543.40,500,690,690,898,144.30
36,100,42,1,375,4767.00,610,780,780,42469,12567.96
36,100,43,1,383,572.60,555,770,770,806,131.64
36,100,44,1,426,551.50,530,620,620,795,99.91
36,100,45,1,439,559.10,550,660,660,697,79.05
36,100,46,1,443,549.70,500,680,680,688,88.97
36,100,47,1,314,580.70,520,760,760,951,179.20
36,100,48,1,363,619.80,550,700,700,1240,223.56
36,100,49,1,409,559.00,560,670,670,749,95.06
36,100,50,1,208,556.30,560,730,730,904,181.55
36,100,51,1,300,548.60,550,620,620,788,112.46
36,100,52,1,302,573.70,550,730,730,756,124.22
36,100,53,1,267,1391.70,565,790,790,8707,2442.32
36,100,54,1,422,554.50,560,610,610,767,91.93
36,100,55,1,460,559.90,560,630,630,645,56.22
36,100,56,1,372,567.50,550,710,710,772,124.10
36,100,57,1,348,563.10,580,650,650,683,100.26
36,100,58,1,362,565.10,506,780,780,1050,190.49
