cpu,client,node,run,min,mean,median,90th,99th,max,std
36,1,1,1,473,1831.10,1366,1600,1600,7291,1848.71
36,10,1,1,467,1014.50,990,1466,1466,1480,370.18
36,10,2,1,406,1992.00,1100,1600,1600,10086,2719.31
36,10,3,1,346,1019.00,950,1500,1500,1521,418.21
36,10,4,1,305,1827.60,1400,1500,1500,8813,2366.22
36,10,5,1,386,1792.80,1433,1500,1500,6993,1774.56
36,10,6,1,406,1108.60,990,1480,1480,1469,381.44
36,10,7,1,320,1095.90,1000,1480,1480,1487,403.62
36,10,8,1,309,1015.40,995,1475,1475,1476,408.88
36,10,9,1,536,1032.60,980,1475,1475,1466,375.05
36,10,10,1,354,2007.50,1375,1600,1600,9258,2447.76
36,100,1,1,432,935.60,930,1550,1550,1514,402.34
36,100,2,1,363,747.60,540,1100,1100,1473,329.83
36,100,3,1,502,2120.50,1366,1600,1600,10586,2844.70
36,100,4,1,426,2022.80,1420,1500,1500,11010,3027.82
36,100,5,1,379,1484.90,570,1500,1500,7388,2010.94
36,100,6,1,348,1843.20,1350,1600,1600,9124,2464.20
36,100,7,1,346,1877.60,970,1500,1500,10550,2917.52
36,100,8,1,566,23501.00,1400,1700,1700,223633,66711.67
36,100,9,1,441,2013.30,1420,1500,1500,9289,2455.64
36,100,10,1,451,1024.60,985,1475,1475,1490,404.60
36,100,11,1,270,925.20,940,1466,1466,1490,408.67
36,100,12,1,357,1017.30,970,1475,1475,1478,405.70
36,100,13,1,497,1040.80,990,1550,1550,1508,385.38
36,100,14,1,283,1781.10,1420,1500,1500,7873,2069.44
36,100,15,1,291,920.60,960,1466,1466,1456,401.42
36,100,16,1,471,849.40,610,1450,1450,1482,368.60
36,100,17,1,450,1034.80,940,1500,1500,1525,381.89
36,100,18,1,423,1018.80,980,1500,1500,1516,401.52
36,100,19,1,480,1852.90,1400,1600,1600,8662,2304.24
36,100,20,1,468,1033.90,960,1500,1500,1546,390.94
36,100,21,1,443,23068.40,1433,1600,1600,219708,65547.63
36,100,22,1,421,841.00,590,1400,1400,1448,356.04
36,100,23,1,388,2459.40,1420,1500,1500,13689,3763.55
36,100,24,1,351,1103.60,1100,1480,1480,1488,387.52
36,100,25,1,322,852.80,700,1450,1450,1498,378.74
36,100,26,1,451,1027.30,1050,1500,1500,1550,401.08
36,100,27,1,457,852.70,620,1450,1450,1428,347.61
36,100,28,1,358,928.60,870,1500,1500,1568,411.34
36,100,29,1,425,940.10,780,1550,1550,1526,422.40
36,100,30,1,508,1944.20,1400,1700,1700,8707,2284.81
36,100,31,1,551,23399.10,1450,1800,1800,221962,66188.51
36,100,32,1,406,943.80,980,1466,1466,1483,400.09
36,100,33,1,489,1687.90,1300,1500,1500,7124,1842.42
36,100,34,1,510,1040.00,1000,1550,1550,1594,407.04
36,100,35,1,393,766.80,670,1100,1100,1510,322.00
36,100,36,1,446,82591.10,10000,11000,11000,754713,224071.82
36,100,37,1,435,861.50,670,1450,1450,1449,347.20
36,100,38,1,364,838.80,680,1400,1400,1424,347.27
36,100,39,1,423,842.20,620,1300,1300,1467,357.84
36,100,40,1,418,846.70,730,1550,1550,1541,410.02
36,100,41,1,514,1934.50,1350,1600,1600,9078,2415.03
36,100,42,1,467,1021.30,1000,1475,1475,1459,387.79
36,100,43,1,427,23998.20,1450,9100,9100,219997,65375.50
36,100,44,1,397,839.20,610,1500,1500,1525,372.10
36,100,45,1,563,2399.90,1400,1600,1600,13111,3587.76
36,100,46,1,327,842.80,590,1450,1450,1488,379.05
36,100,47,1,337,846.60,680,1300,1300,1545,360.64
36,100,48,1,383,1927.30,1366,1600,1600,8928,2363.85
36,100,49,1,468,938.50,900,1400,1400,1408,358.52
36,100,50,1,417,848.10,630,1450,1450,1480,362.70
36,100,51,1,519,1029.80,1100,1375,1375,1364,325.64
36,100,52,1,480,1028.50,1050,1466,1466,1448,364.62
36,100,53,1,437,840.00,620,1400,1400,1433,354.50
36,100,54,1,414,1037.20,990,1550,1550,1583,421.27
36,100,55,1,409,947.70,870,1566,1566,1526,425.93
36,100,56,1,460,2122.20,1400,1600,1600,11027,2999.07
36,100,57,1,512,950.20,940,1500,1500,1534,377.16
36,100,58,1,452,2302.40,1400,1600,1600,13221,3663.34
36,100,59,1,462,2042.80,1366,1700,1700,10087,2712.00
36,100,60,1,353,1956.50,1350,1500,1500,10052,2728.63
36,100,61,1,311,1445.10,960,1600,1600,5913,1541.36
36,100,62,1,545,22921.40,1350,1600,1600,219835,65639.22
36,100,63,1,436,946.50,970,1500,1500,1529,362.47
36,100,64,1,480,1899.20,950,1800,1800,9630,2609.31
36,100,65,1,416,2088.60,920,1600,1600,12569,3516.73
36,100,66,1,356,2028.30,730,1500,1500,12788,3605.32
36,100,67,1,487,948.00,920,1500,1500,1513,382.07
36,100,68,1,476,951.90,950,1500,1500,1563,388.62
36,100,69,1,400,873.40,750,1400,1400,1524,359.11
36,100,70,1,487,752.90,600,1300,1300,1464,331.06
36,100,71,1,426,855.10,660,1300,1300,1637,380.09
36,100,72,1,449,1120.50,1150,1650,1650,1609,403.44
36,100,73,1,552,1956.30,1300,1800,1800,9270,2468.60
36,100,74,1,510,2287.30,1400,1700,1700,13241,3676.97
36,100,75,1,442,2328.60,1433,1800,1800,13187,3648.78
36,100,76,1,503,2174.80,650,1500,1500,13345,3745.27
36,100,77,1,547,1101.20,1100,1600,1600,1604,394.63
36,100,78,1,426,2204.70,620,1600,1600,14151,4001.58
36,100,79,1,489,2039.10,1400,1500,1500,11028,3026.48
36,100,80,1,460,946.80,900,1500,1500,1541,378.99
36,100,81,1,401,2012.00,1050,1600,1600,11068,3042.22
36,100,82,1,449,23084.90,1433,1600,1600,219603,65506.95
36,100,83,1,511,2079.60,1100,1600,1600,11032,3003.67
36,100,84,1,508,1807.00,1300,1900,1900,7738,2015.06
36,100,85,1,458,2143.50,1400,1600,1600,10685,2867.71
36,100,86,1,439,1078.90,970,1650,1650,1635,436.49
36,100,87,1,551,967.90,940,1400,1400,1471,318.32
36,100,88,1,504,1773.80,1433,1700,1700,6966,1778.47
36,100,89,1,470,1051.70,1000,1550,1550,1593,388.50
36,100,90,1,611,1203.60,1200,1700,1700,1753,359.03
36,100,91,1,414,1581.50,590,1700,1700,9586,2689.54
36,100,92,1,393,1050.90,1100,1500,1500,1571,409.93
36,100,93,1,530,2611.30,1600,7200,7200,8182,2564.32
36,100,94,1,511,1935.50,1200,2000,2000,9409,2522.36
36,100,95,1,539,1093.90,950,1700,1700,1881,454.39
36,100,96,1,501,687.90,560,1100,1100,1305,255.03
36,100,97,1,387,1824.50,1300,2400,2400,7583,2005.45
36,100,98,1,551,2243.50,1300,1800,1800,12398,3408.60
36,100,99,1,612,2186.20,1500,2100,2100,9514,2476.37
36,100,100,1,688,2348.20,1450,1900,1900,11164,2964.51
36,30,1,1,480,1113.50,960,1500,1500,2023,496.91
36,30,2,1,320,1197.80,1425,1600,1600,1666,462.25
36,30,3,1,248,1525.90,550,1500,1500,7878,2160.93
36,30,4,1,424,22576.20,1433,1800,1800,215495,64307.83
36,30,5,1,299,1008.40,995,1466,1466,1465,406.87
36,30,6,1,441,1941.30,1420,1500,1500,9338,2494.87
36,30,7,1,408,946.20,570,1500,1500,1531,458.34
36,30,8,1,472,1022.40,980,1475,1475,1481,395.19
36,30,9,1,514,961.20,930,1500,1500,1570,377.98
36,30,10,1,352,1113.90,1200,1500,1500,1530,406.88
36,30,11,1,414,1017.40,990,1475,1475,1456,393.59
36,30,12,1,430,1025.40,950,1466,1466,1475,381.18
36,30,13,1,473,1603.90,970,1600,1600,6282,1603.95
36,30,14,1,340,2015.60,1433,1500,1500,9168,2417.04
36,30,15,1,430,1019.30,1050,1400,1400,1502,371.47
36,30,16,1,466,23024.60,1440,1600,1600,219164,65380.89
36,30,17,1,449,1016.40,980,1500,1500,1597,419.39
36,30,18,1,397,1028.20,960,1500,1500,1563,385.92
36,30,19,1,374,23053.50,1350,1500,1500,220620,65856.63
36,30,20,1,354,1114.30,1000,1500,1500,1518,384.92
36,30,21,1,342,1014.00,980,1475,1475,1464,410.35
36,30,22,1,384,22641.00,1420,1500,1500,216438,64600.14
36,30,23,1,480,2028.40,1425,1600,1600,9251,2436.88
36,30,24,1,336,1756.00,1400,1600,1600,6908,1763.23
36,30,25,1,378,2308.20,1425,1700,1700,12365,3376.25
36,30,26,1,435,1022.30,1050,1450,1450,1475,380.44
36,30,27,1,419,23292.10,1400,1600,1600,222723,66478.04
36,30,28,1,404,23115.00,1400,1600,1600,220531,65806.48
36,30,29,1,273,2370.30,1433,1500,1500,13270,3656.75
36,30,30,1,397,1104.10,1100,1475,1475,1493,369.44
36,50,1,1,568,23505.50,1350,1600,1600,224618,67038.24
36,50,2,1,382,1791.50,1420,1500,1500,7713,2007.71
36,50,3,1,489,23120.80,1400,1600,1600,220472,65784.69
36,50,4,1,366,1739.50,1425,1600,1600,6906,1765.55
36,50,5,1,470,2201.70,1440,1600,1600,10976,2948.13
36,50,6,1,353,1013.60,990,1450,1450,1488,399.61
36,50,7,1,470,1104.20,1100,1475,1475,1445,352.04
36,50,8,1,413,2012.90,1350,1600,1600,10529,2868.73
36,50,9,1,391,23081.50,1433,1600,1600,219663,65528.33
36,50,10,1,252,23436.30,1350,1700,1700,224147,66905.02
36,50,11,1,392,2087.90,1400,1800,1800,10510,2836.69
36,50,12,1,467,1036.60,990,1500,1500,1555,408.15
36,50,13,1,953,2084.40,1442,1500,1500,8715,2217.35
36,50,14,1,378,1736.50,1440,1600,1600,6859,1750.55
36,50,15,1,340,1014.70,990,1475,1475,1454,398.45
36,50,16,1,341,2020.70,1440,1700,1700,9183,2421.97
36,50,17,1,464,938.50,930,1500,1500,1522,398.43
36,50,18,1,409,937.40,965,1450,1450,1489,396.29
36,50,19,1,435,1036.90,970,1500,1500,1599,383.41
36,50,20,1,367,2099.90,1433,1500,1500,10536,2840.02
36,50,21,1,348,1024.90,1050,1500,1500,1516,409.21
36,50,22,1,454,1021.70,960,1500,1500,1511,385.16
36,50,23,1,384,925.90,840,1500,1500,1565,408.80
36,50,24,1,323,1037.20,1050,1600,1600,1654,430.03
36,50,25,1,348,924.40,965,1466,1466,1480,400.64
36,50,26,1,485,1978.80,1400,1600,1600,9533,2543.96
36,50,27,1,439,759.40,590,1100,1100,1437,316.94
36,50,28,1,575,1034.70,940,1500,1500,1565,354.91
36,50,29,1,422,1621.00,910,1600,1600,7872,2121.69
36,50,30,1,342,931.90,980,1500,1500,1553,403.31
36,50,31,1,475,851.10,560,1450,1450,1486,369.76
36,50,32,1,517,2226.40,1420,1500,1500,11853,3231.79
36,50,33,1,517,1994.80,1400,1600,1600,9757,2612.49
36,50,34,1,325,1013.00,1000,1475,1475,1461,405.85
36,50,35,1,316,1099.00,1100,1480,1480,1482,403.92
36,50,36,1,363,1102.00,1100,1500,1500,1522,398.01
36,50,37,1,399,1020.10,1050,1500,1500,1634,405.51
36,50,38,1,315,1027.30,990,1500,1500,1508,426.24
