cpu,client,node,run,min,mean,median,90th,99th,max,std
36,1,1,1,413,571.30,530,720,720,747,111.05
36,10,1,1,488,561.50,540,640,640,694,63.72
36,10,2,1,377,537.40,540,610,610,610,65.70
36,10,3,1,418,558.60,565,640,640,648,66.07
36,10,4,1,261,562.40,530,730,730,867,154.20
36,10,5,1,393,574.40,540,730,730,737,102.11
36,10,6,1,380,548.00,532,620,620,933,142.86
36,10,7,1,410,550.80,520,640,640,779,93.08
36,10,8,1,459,563.00,530,710,710,757,87.44
36,10,9,1,427,558.70,530,660,660,833,112.30
36,10,10,1,430,553.10,530,630,630,697,73.28
36,100,1,1,349,557.00,520,730,730,748,128.05
36,100,2,1,462,579.00,550,670,670,774,87.09
36,100,3,1,457,556.50,550,640,640,651,65.41
36,100,4,1,461,556.20,520,660,660,695,70.36
36,100,5,1,479,593.30,540,800,800,884,130.69
36,100,6,1,349,556.20,540,630,630,798,109.98
36,100,7,1,318,552.10,540,620,620,899,142.84
36,100,8,1,458,554.20,530,600,600,816,94.97
36,100,9,1,498,575.00,550,700,700,702,67.00
36,100,10,1,460,552.40,540,630,630,647,59.83
36,100,11,1,502,565.40,560,660,660,669,53.44
36,100,12,1,383,575.00,580,670,670,687,84.77
36,100,13,1,414,547.00,540,660,660,673,93.68
36,100,14,1,414,554.50,530,670,670,725,92.80
36,100,15,1,445,548.00,540,610,610,676,73.51
36,100,16,1,434,566.00,540,660,660,778,99.65
36,100,17,1,343,549.60,550,610,610,659,83.59
36,100,18,1,348,566.50,536,750,750,781,122.13
36,100,19,1,359,541.80,540,625,625,626,73.60
36,100,20,1,336,591.30,540,720,720,898,144.46
36,100,21,1,421,560.00,570,660,660,684,82.64
36,100,22,1,321,545.80,540,640,640,665,88.80
36,100,23,1,380,550.60,560,640,640,646,80.23
36,100,24,1,402,542.20,520,650,650,824,126.80
36,100,25,1,347,551.70,545,720,720,825,133.85
36,100,26,1,425,564.80,560,630,630,723,87.91
36,100,27,1,392,557.20,530,770,770,806,127.55
36,100,28,1,184,549.70,530,670,670,919,187.48
36,100,29,1,383,549.50,530,710,710,713,102.76
36,100,30,1,479,559.00,550,640,640,645,54.56
36,100,31,1,424,561.00,560,680,680,747,103.74
36,100,32,1,405,579.70,580,700,700,707,96.00
36,100,33,1,390,564.70,510,680,680,919,142.91
36,100,34,1,477,561.50,556,610,610,707,61.42
36,100,35,1,289,531.10,570,650,650,659,112.56
36,100,36,1,319,547.40,540,760,760,777,144.69
36,100,37,1,350,567.40,570,720,720,749,115.36
36,100,38,1,449,559.50,560,650,650,696,81.40
36,100,39,1,415,565.30,560,680,680,728,98.91
36,100,40,1,282,565.50,500,750,750,804,166.13
36,100,41,1,240,586.40,550,650,650,1186,226.89
36,100,42,1,199,575.80,530,730,730,998,194.20
36,100,43,1,274,580.90,560,810,810,849,177.93
36,100,44,1,430,588.50,540,735,735,732,102.38
36,100,45,1,273,564.10,610,720,720,744,144.50
36,100,46,1,332,548.50,555,670,670,778,125.25
36,100,47,1,470,568.20,560,610,610,678,57.02
36,100,48,1,363,554.20,550,740,740,813,135.67
36,100,49,1,426,581.50,590,700,700,700,95.00
36,100,50,1,214,599.20,560,830,830,961,221.36
36,100,51,1,408,556.20,540,700,700,778,103.13
36,100,52,1,374,585.70,585,740,740,749,113.78
36,100,53,1,314,542.00,570,700,700,720,133.98
36,100,54,1,392,587.30,540,710,710,1106,201.32
36,100,55,1,357,547.80,520,690,690,790,115.89
36,100,56,1,387,594.40,595,680,680,751,92.08
36,100,57,1,391,550.50,560,650,650,650,83.26
36,100,58,1,327,547.40,535,650,650,667,89.54
36,100,59,1,315,558.70,580,670,670,877,150.82
36,100,60,1,400,571.20,560,650,650,958,150.12
36,100,61,1,323,541.30,530,670,670,734,131.49
36,100,62,1,364,636.70,630,780,780,1058,205.60
36,100,63,1,395,587.00,580,750,750,786,137.11
36,100,64,1,276,607.40,570,800,800,801,168.64
36,100,65,1,283,643.70,530,1000,1000,1090,250.81
36,100,66,1,298,588.20,535,710,710,1323,269.21
36,100,67,1,355,557.40,540,760,760,810,131.05
36,100,68,1,366,598.80,600,740,740,877,144.94
36,100,69,1,465,582.40,570,670,670,762,81.47
36,100,70,1,422,604.00,540,780,780,954,155.81
36,100,71,1,217,575.40,540,930,930,1009,254.38
36,100,72,1,297,588.10,590,870,870,875,188.71
36,100,73,1,202,600.80,450,990,990,1053,274.38
36,100,74,1,327,571.90,550,820,820,844,152.18
36,100,75,1,461,579.60,530,740,740,809,114.47
36,100,76,1,334,572.60,460,810,810,870,181.72
36,100,77,1,318,579.90,540,780,780,1023,201.36
36,100,78,1,299,582.00,490,920,920,928,209.26
36,100,79,1,307,557.00,540,620,620,858,138.22
36,100,80,1,400,570.40,600,660,660,735,96.88
36,100,81,1,442,567.60,575,660,660,793,100.33
36,100,82,1,266,566.50,590,710,710,818,153.77
36,100,83,1,300,551.80,485,880,880,929,209.97
36,100,84,1,341,584.30,540,780,780,945,186.22
36,100,85,1,280,718.30,660,1100,1100,1122,290.63
36,100,86,1,431,571.70,570,670,670,678,69.03
36,100,87,1,421,610.10,550,860,860,873,152.58
36,100,88,1,340,611.10,600,790,790,958,170.60
36,100,89,1,377,570.80,460,690,690,1080,200.86
36,100,90,1,428,649.00,560,930,930,939,195.23
36,100,91,1,280,578.10,570,820,820,954,196.45
36,100,92,1,341,733.40,570,1100,1100,1577,372.68
36,100,93,1,317,634.50,500,980,980,1236,290.82
36,100,94,1,352,600.70,630,740,740,911,163.06
36,100,95,1,366,684.30,600,890,890,1394,293.99
36,100,96,1,240,594.60,580,820,820,977,208.32
36,100,97,1,297,629.80,555,1100,1100,1151,246.19
36,100,98,1,371,682.50,640,950,950,1256,247.90
36,100,99,1,288,668.70,630,970,970,986,207.93
36,100,100,1,382,637.10,510,910,910,1343,293.08
36,30,1,1,416,546.30,540,620,620,714,86.38
36,30,2,1,448,558.60,570,630,630,664,69.64
36,30,3,1,369,547.70,550,680,680,741,111.67
36,30,4,1,252,576.90,530,690,690,1000,181.39
36,30,5,1,477,569.20,545,650,650,680,66.13
36,30,6,1,262,537.30,545,640,640,682,104.38
36,30,7,1,416,566.40,540,700,700,711,106.83
36,30,8,1,343,547.90,545,680,680,690,89.45
36,30,9,1,330,540.40,545,640,640,681,89.07
36,30,10,1,384,555.40,530,600,600,811,100.94
36,30,11,1,469,556.40,545,650,650,710,67.07
36,30,12,1,317,532.70,560,610,610,687,92.97
36,30,13,1,355,559.50,580,670,670,711,104.05
36,30,14,1,361,541.70,545,660,660,748,103.30
36,30,15,1,473,560.20,530,640,640,737,80.95
36,30,16,1,343,557.40,520,770,770,923,167.34
36,30,17,1,378,559.90,540,660,660,815,115.06
36,30,18,1,423,560.10,553,660,660,799,101.61
36,30,19,1,366,549.70,530,700,700,732,99.71
36,30,20,1,330,551.40,550,640,640,734,99.84
36,30,21,1,360,544.60,500,670,670,706,118.97
36,30,22,1,281,526.80,530,620,620,628,97.64
36,30,23,1,342,538.60,530,680,680,685,94.30
36,30,24,1,321,540.70,550,590,590,726,93.88
36,30,25,1,329,552.80,510,770,770,889,154.14
36,30,26,1,399,556.20,565,610,610,646,64.65
36,30,27,1,325,548.00,540,630,630,716,95.42
36,30,28,1,334,538.70,520,660,660,716,99.35
36,30,29,1,369,561.60,540,860,860,871,171.85
36,30,30,1,347,544.60,545,710,710,711,112.63
36,50,1,1,297,683.60,530,620,620,2169,501.98
36,50,2,1,383,542.40,520,620,620,701,82.80
36,50,3,1,427,552.70,530,680,680,716,83.88
36,50,4,1,403,553.50,570,655,655,655,83.58
36,50,5,1,483,551.30,530,640,640,705,66.42
36,50,6,1,265,560.50,530,810,810,1042,213.63
36,50,7,1,469,568.40,570,630,630,805,93.53
36,50,8,1,428,574.60,610,680,680,680,89.93
36,50,9,1,318,554.30,540,610,610,725,96.81
36,50,10,1,434,565.90,550,680,680,800,98.98
36,50,11,1,426,557.90,535,670,670,707,82.83
36,50,12,1,365,558.10,565,690,690,699,90.29
36,50,13,1,430,561.80,550,680,680,745,88.02
36,50,14,1,400,555.80,525,620,620,876,122.93
36,50,15,1,283,547.80,555,670,670,686,106.78
36,50,16,1,434,559.80,540,630,630,754,89.34
36,50,17,1,375,551.30,555,690,690,752,102.32
36,50,18,1,368,564.40,590,760,760,762,138.68
36,50,19,1,282,548.70,540,640,640,728,111.60
36,50,20,1,455,573.40,550,700,700,814,106.12
36,50,21,1,314,544.40,560,620,620,701,99.50
36,50,22,1,257,540.70,550,700,700,730,132.91
